Company Name,Industry,Symbol,Price Deviation (5 D),LTP,ST,MT,LT,ST %,MT %,LT %
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,0.04274,579.95,419.03,684.34,362.68,27.747,-18.0,37.464
MphasiS Ltd.,Information Technology,MPHASIS,0.04281,2470.0,1679.73,3116.84,1068.65,31.995,-26.188,56.735
Persistent Systems Ltd.,Information Technology,PERSISTENT,0.04304,5838.8,4357.9,3710.98,755.65,25.363,36.443,87.058
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,0.04306,326.1,376.05,229.77,205.53,-15.317,29.54,36.973
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,0.04313,64.0,46.79,46.79,46.79,26.891,26.891,26.891
Mankind Pharma Ltd.,Healthcare,MANKIND,0.04321,1756.5,1756.5,1756.5,1756.5,0.0,0.0,0.0
Fine Organic Industries Ltd.,Chemicals,FINEORG,0.04328,4921.85,4188.17,3141.28,1112.67,14.907,36.177,77.393
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,0.04329,467.05,314.37,414.79,436.83,32.69,11.189,6.47
Tech Mahindra Ltd.,Information Technology,TECHM,0.04329,1288.65,1047.2,1385.68,638.73,18.737,-7.53,50.434
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,0.04359,126.9,70.77,56.56,72.63,44.232,55.429,42.766
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,0.04359,121.2,103.9,91.47,96.29,14.274,24.53,20.553
Affle (India) Ltd.,Information Technology,AFFLE,0.04364,1092.25,935.7,1034.74,1034.74,14.333,5.265,5.265
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,0.0438,1059.95,761.24,992.67,338.14,28.182,6.347,68.098
Brigade Enterprises Ltd.,Realty,BRIGADE,0.04413,584.1,463.75,418.05,140.55,20.604,28.428,75.937
Tata Motors Ltd DVR,Automobile and Auto Components,TATAMTRDVR,0.0442,419.75,206.71,163.92,142.23,50.754,60.948,66.116
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,0.0443,215.6,209.0,218.6,201.55,3.061,-1.391,6.517
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,0.04443,818.4,675.97,596.37,596.37,17.403,27.13,27.13
Firstsource Solutions Ltd.,Services,FSL,0.04446,164.75,110.8,188.41,62.39,32.747,-14.361,62.131
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,0.04448,180.5,146.0,113.1,135.9,19.114,37.341,24.709
Prestige Estates Projects Ltd.,Realty,PRESTIGE,0.0445,604.95,412.65,428.45,230.77,31.788,29.176,61.853
J.K. Cement Ltd.,Construction Materials,JKCEMENT,0.04453,3204.9,2826.19,3143.33,767.02,11.817,1.921,76.067
NMDC Ltd.,Metals & Mining,NMDC,0.04471,142.45,104.92,122.12,81.09,26.346,14.272,43.075
Aether Industries Ltd.,Chemicals,AETHER,0.04478,960.15,866.0,866.0,866.0,9.806,9.806,9.806
